time,corrective_fix,preventive_fix,local_fix,fed_fix,corrective_profit,preventive_profit,local_profit,fed_profit
388,0,0,0,0,194.9507485,196.8892846,287.099295,284.890018
389,0,0,0,0,195.8008353,197.7023999,287.9168078,285.7682558
390,0,0,0,0,196.5789826,198.4524093,288.7961117,286.6252859
391,0,0,0,0,197.2706321,199.1407858,289.4835691,287.4129721
392,0,0,0,0,198.0066134,199.8064244,290.1645871,288.0773677
393,0,0,0,0,198.8359837,200.5099067,290.9765875,288.8932043
394,0,0,0,0,199.5392043,201.2508395,291.7665387,289.5959401
395,0,0,0,0,200.2209391,201.9809881,292.4838054,290.28843
396,0,0,0,0,201.0716557,202.8399431,293.3424447,291.1677498
397,0,0,0,0,201.8350047,203.6004926,294.1818583,291.9315106
398,0,0,0,0,202.5252193,204.4477264,294.9287693,292.7986988
399,0,0,0,0,203.3412454,205.2202599,295.6809168,293.4298778
400,0,0,0,0,204.1948778,205.9072408,296.4863706,294.289784
401,0,0,0,0,205.0444439,206.6495367,297.2129083,295.0369973
402,0,0,0,0,205.8476899,207.3302387,298.0203111,295.7622489
403,0,0,0,0,206.6296301,208.1216068,298.8738513,296.4711882
404,0,0,0,0,207.4894552,208.8878498,299.5620466,297.2601788
405,0,0,0,0,208.3133787,209.6711871,300.3676643,298.0745557
406,0,0,0,0,208.9893402,210.4671068,301.0953789,298.7954867
407,0,0,0,0,209.8243157,211.1904112,301.8773287,299.6641588
408,0,0,0,0,210.6816357,211.8664274,302.5897493,300.3375198
