time,corrective_profit,preventive_profit,local_profit,fed_profit
456,994.9055669,1082.568206,1349.587938,1341.769406
457,997.7961632,1085.541356,1352.656376,1343.09888
458,1000.648187,1088.965182,1355.576347,1344.553189
459,1003.713845,1091.98143,1358.515793,1347.040539
460,1006.954843,1095.039846,1361.457309,1349.415181
461,1010.179944,1098.075902,1364.542022,1351.693829
462,1013.21549,1100.871579,1367.51363,1353.737556
463,1016.230054,1103.738899,1370.660965,1356.174137
464,1019.423326,1106.674749,1373.832119,1358.546273
465,1022.576356,1109.519825,1376.869325,1360.641513
466,1025.581958,1112.306886,1379.630525,1362.92152
467,1028.499644,1115.293251,1382.677209,1366.030301
468,1031.410025,1118.423675,1385.688767,1368.881376
469,1034.516829,1121.435453,1388.817786,1371.802162
470,1037.516982,1124.401091,1391.814426,1374.746948
471,1040.395061,1127.810177,1395.063453,1377.539382
472,1043.286703,1131.124605,1397.861886,1380.329434
473,1046.153821,1134.122784,1400.924772,1383.230537
474,1049.354237,1137.018861,1404.201975,1386.044911
475,1052.394005,1140.080717,1407.20355,1389.143547
476,1055.47131,1143.277072,1410.019687,1391.872551
477,1058.477402,1146.150432,1413.035384,1394.999096
478,1061.620639,1149.483297,1416.18537,1397.954446
479,1064.575746,1152.322569,1418.97491,1401.029403
480,1067.614498,1155.465328,1421.727774,1404.137677
481,1070.716705,1158.317647,1424.688533,1407.178132
482,1073.791753,1161.427853,1427.871856,1410.166372
483,1076.804951,1164.343619,1430.041522,1413.298099
484,1079.79703,1167.190765,1432.234503,1415.532769
485,1082.549234,1170.305929,1434.482137,1417.834369
486,1085.896142,1173.360673,1436.921358,1420.122609
487,1088.943563,1176.664534,1439.207037,1422.391206
488,1092.100285,1179.88125,1441.304372,1424.504353
489,1095.168696,1182.856728,1443.764238,1426.698898
490,1098.171932,1185.725442,1446.202602,1428.971334
491,1100.912046,1188.782978,1448.476166,1431.011146
492,1103.707667,1191.855643,1450.66585,1433.198343
493,1106.887469,1194.788551,1453.450978,1435.552041
494,1109.948815,1197.83538,1456.712247,1438.627723
495,1112.845054,1200.799828,1459.842268,1441.765463
496,1115.730893,1203.942486,1462.853287,1444.870455
497,1118.779505,1207.052097,1466.128037,1447.706952
498,1121.903424,1210.074508,1469.095824,1450.606181
499,1124.652938,1213.042908,1472.05586,1453.828505
500,1127.580416,1215.969704,1475.078128,1456.920635
501,1130.762548,1218.750505,1477.976895,1459.826306
502,1133.885628,1221.780511,1481.011691,1462.776123
503,1136.848565,1224.698502,1484.070558,1466.00002
504,1139.504746,1227.840554,1487.079013,1468.906486
505,1142.495894,1230.954239,1489.775039,1472.21345
506,1145.547231,1233.94749,1492.838117,1475.369294
507,1148.454521,1236.867162,1495.844072,1478.510891
508,1151.447948,1239.853869,1498.757072,1481.605025
509,1154.34807,1242.755649,1501.878368,1484.615491
510,1157.504393,1245.600027,1505.136154,1487.539547
511,1160.595003,1248.880897,1508.13575,1490.714418
512,1163.715976,1251.984007,1511.268954,1493.683525
513,1166.749764,1255.307614,1514.207765,1496.45963
514,1169.607181,1258.244042,1517.12476,1499.621563
515,1172.618729,1261.362032,1520.291643,1502.65569
516,1175.337511,1264.457384,1523.221795,1505.575157
517,1178.227071,1267.468614,1526.38918,1508.454517
518,1181.215082,1270.400555,1529.306328,1511.614962
519,1184.127198,1273.364756,1532.281773,1514.61099
520,1187.258903,1276.44027,1535.482699,1517.672627
521,1190.536411,1279.422888,1538.461876,1520.82209
522,1193.746186,1282.531121,1541.560434,1523.838094
523,1196.739782,1285.390657,1544.431708,1526.798525
524,1199.801251,1288.555875,1547.306225,1529.857496
525,1202.769866,1291.232481,1550.288191,1532.915307
526,1205.910435,1294.14391,1553.647933,1536.169806
527,1208.832626,1297.075993,1556.421618,1538.994387
528,1211.591631,1299.862361,1559.130291,1541.82561
529,1214.377191,1302.915582,1562.199934,1544.776537
530,1217.650399,1305.794792,1565.168472,1547.648856
531,1220.658959,1308.906267,1568.215736,1550.860202
532,1223.686328,1311.829218,1571.179732,1553.654538
533,1226.886618,1314.806955,1574.400805,1556.47959
534,1229.696593,1317.787083,1577.490118,1559.274481
535,1232.690392,1320.732601,1580.398773,1562.372061
536,1235.879909,1324.120111,1583.566583,1565.498334
537,1238.781357,1327.309313,1585.783272,1568.337328
538,1241.749696,1330.154715,1588.03184,1571.31675
