time,TsPreOut_abnormal,TpreIn_abnormal,Texh_abnormal,PAw_abnormal,TsEcoOut_abnormal,PAs0_abnormal,Ts0_abnormal
112,49.32049993,79.94274987,55.41890647,1.703986217,116.1125587,0.750632745,177.9129443
113,49.32806389,80.45132631,55.52649565,1.707632868,117.3269522,0.755956313,178.4677282
114,49.33588416,80.56020315,55.43434509,1.719303554,117.8418428,0.763289325,178.9242185
115,49.24396917,80.26939075,55.44246351,1.734598882,117.8572474,0.766632031,179.1824655
116,49.25232768,79.47889978,55.35085994,1.769919473,117.1731833,0.762984686,179.4425206
117,49.06096866,78.38874127,55.25954364,1.754065958,116.1896684,0.760347553,179.5044366
118,48.9699014,77.29892662,55.06852422,1.722638976,114.7067213,0.755720897,179.3682676
119,48.77913547,76.2094676,54.97781154,1.570839182,113.124361,0.75010499,179.2340691
120,48.6886807,75.32037635,54.78741583,1.479467237,111.8426071,0.740500108,179.0018979
121,48.59854727,74.23166544,54.69734758,1.710523814,106.8614801,0.732906532,178.7718121
122,48.50874564,73.24334781,54.50761765,1.796009597,101.0810009,0.730324549,178.5438715
123,48.51928658,72.85543686,54.51823721,1.755925279,102.2011911,0.730754451,178.2181368
124,48.5301812,73.06794638,54.5292178,1.677471562,104.722073,0.731196535,177.9946707
125,48.64144094,73.78089064,54.64057129,1.608649158,106.8436696,0.7326511,178.0735368
126,48.75307758,74.59428434,54.75230994,1.696258789,107.8660046,0.736118455,178.1548007
127,48.76510324,75.20814267,54.86444635,1.707501185,108.2891025,0.74359891,178.4385289
128,48.87753041,75.92248129,54.97699353,1.700777082,108.8129884,0.75109278,178.7247898
129,48.89037193,76.23731637,54.98996488,1.711287228,109.6376884,0.758600385,179.0136531
130,48.90364101,76.35266456,55.00337417,1.724632375,110.1632292,0.76512205,179.5051899
131,48.91735127,76.16854306,55.01723562,1.760013284,110.5896383,0.766658103,179.799473
132,48.93151667,75.7849696,54.93156385,1.793430719,110.8169442,0.769208877,180.0965764
133,48.84615162,75.30196246,54.94637392,1.814885454,110.4451761,0.769774709,180.3965759
134,48.76127089,74.71954048,54.7616813,1.824778265,109.9743642,0.768355937,180.3995484
135,48.57688969,73.93772307,54.57750194,1.802309933,109.8045394,0.765952907,180.5055727
136,48.39302364,72.85653026,54.39385224,1.691081243,108.8357338,0.759565964,180.3147286
137,48.20968879,71.77598265,54.11074905,1.529492981,108.06798,0.749195459,180.0270978
138,48.02690162,70.6961015,53.82820974,1.724745936,107.201312,0.739841743,179.642763
139,47.84467906,69.81690867,53.6462521,1.863640899,104.6357646,0.73450517,179.3618085
140,47.86303849,69.53842669,53.66489448,1.75097866,103.1713734,0.733186098,178.8843201
141,47.98199773,69.86067876,53.7841557,1.674360007,102.7081753,0.733884883,178.5103847
142,48.10157509,70.48368875,54.00405509,1.837785727,102.9462081,0.736601887,178.3400907
143,48.32178933,71.10748122,54.32461251,1.841256602,102.7855105,0.741337468,178.3735277
144,48.54265969,71.73208144,54.54584836,1.847573413,103.2261226,0.744091988,178.5107865
145,48.66420589,72.35751541,54.76778355,1.834736931,104.4680852,0.750865806,178.8519591
146,48.88644813,73.18380986,54.89043955,1.849547923,105.7114406,0.758659283,179.1971387
147,48.90940713,74.01099226,55.0138384,1.878007145,108.4562319,0.767472778,179.7464195
148,49.03310405,74.93909085,55.13800266,1.843715346,113.7025034,0.775306648,180.2998968
149,49.0575606,75.66813466,55.16295548,1.851873262,116.0503006,0.781161248,180.7576668
150,49.08279896,75.39815348,55.18872058,1.878881615,114.7996702,0.784036932,181.1198264
151,49.00884182,74.82917792,55.11532223,1.891541114,113.7506599,0.785934047,181.4864736
152,48.83571237,73.8612394,54.84278532,1.89385245,112.6033189,0.78185294,181.6577067
153,48.56343431,72.59437015,54.47113528,1.750216299,111.1576972,0.77479395,181.833625
154,48.29203183,71.22860325,54.10039815,1.646633314,109.6138463,0.763757413,181.7143279
155,48.12152964,69.9639726,53.83060056,1.765904129,108.1718187,0.759743657,181.4999155
156,47.95195293,69.10051296,53.7617697,1.865629352,105.7316684,0.756753005,181.190488
157,47.8833274,68.33825996,53.59393338,1.954609567,103.0934503,0.758785771,180.8861457
158,47.91567922,67.97725008,53.72711997,1.952045331,101.0572207,0.757842261,180.7869888
159,48.04903507,67.71752068,53.86135843,1.88793717,100.1230371,0.756922772,180.5931177
160,48.18342207,67.95910996,53.9966783,1.835885579,100.6909582,0.754027589,180.6046322
161,48.31886785,68.40205705,54.13310971,1.943091022,101.761044,0.756156988,180.6216317
162,48.45540045,68.74640191,54.37068332,1.963553924,103.2333554,0.757311233,180.7442149
163,48.69304839,69.99218541,54.60943038,1.993274673,106.0079549,0.762490573,180.9724798
164,48.93184061,71.63944926,54.94938266,1.997853618,111.7849058,0.768695244,181.3065235
165,49.17180643,73.18823607,55.19057249,1.918091065,117.1642729,0.77292547,181.7464415
166,49.31297562,73.9385893,55.3330327,1.887987277,115.5461219,0.778181455,182.1923284
167,49.35537828,74.39055326,55.37679664,1.94354247,114.8305198,0.780463388,182.7442768
168,49.39904488,74.54417311,55.52189813,1.94075681,113.8175343,0.78377144,183.1023776
169,49.44400622,74.59949485,55.56837147,1.934430414,112.9072347,0.788105765,183.5667198
170,49.4902934,74.45656528,55.5162514,1.930563347,112.7996909,0.789466494,184.0373898
171,49.53793779,74.11543199,55.56557307,1.941555617,112.7949738,0.789853738,184.5144717
172,49.48697099,73.97614337,55.61637201,1.881407177,112.8931554,0.789267589,184.8980465
173,49.53742483,74.03874852,55.66868414,1.846517921,113.3943085,0.787708113,185.1881925
174,49.58933128,74.20329731,55.72254566,1.923687682,113.8985065,0.787175352,185.4849844
175,49.64272246,74.06984024,55.77799308,1.89931623,113.6058239,0.785669327,185.7884934
176,49.69763057,73.8384285,55.83506317,1.885403273,113.1163354,0.779190028,185.9987867
177,49.75408784,74.00911389,55.89379286,1.811548452,112.6301168,0.774737423,186.1159274
178,49.91212649,74.48194876,56.05421929,1.73175134,112.2472441,0.772311449,186.3399743
179,49.9717787,74.85698599,56.11637966,1.812811442,111.4677936,0.771912018,186.670981
180,50.23307651,75.53427893,56.38031124,1.778328194,110.7918423,0.775539009,187.1089966
181,50.39605179,76.61388132,56.54605129,1.77150096,110.5194669,0.782192274,187.6540643
182,50.66073618,77.99584727,56.91363703,1.780729032,111.4507448,0.791871632,188.4062219
183,50.927161,79.38023114,57.0831055,1.778811629,113.2857527,0.803576872,189.2655014
184,51.1953572,80.76708754,57.35449358,1.796947899,115.1245678,0.816307751,190.4319282
185,51.36535532,81.65647116,57.62783786,1.821936911,116.9672664,0.829063993,191.7055214
186,51.43718532,82.24843676,57.70317458,1.861377665,118.5139249,0.840845287,192.7862931
187,51.41087663,82.04303904,57.68053956,1.936869083,119.4646187,0.850651293,193.7742482
188,51.38645793,81.14033259,57.6599681,1.998810014,119.3194227,0.856481633,194.4693844
189,51.2639572,80.14037171,57.54149488,2.035999234,119.0784107,0.858335896,194.9716916
190,51.14340152,78.64321038,57.22515392,1.992435442,118.2416555,0.852213637,195.1811516
191,50.82481706,76.84890213,56.81097841,1.662517268,117.1092286,0.840114378,195.1977381
192,50.30822892,74.75749987,56.09900068,1.777443269,113.6812001,0.818037603,195.0214164
193,49.89366108,72.56905584,55.58925204,2.016011929,102.9576381,0.799982765,194.6521429
194,49.68113631,70.78362141,55.3817627,2.055021666,96.73860923,0.793949281,193.9898653
195,49.87067601,70.20124699,55.77656169,1.960470827,99.7241777,0.792936536,193.6345219
196,50.26230015,70.82198188,56.37367666,1.917157697,103.3144055,0.79494388,193.2860421
197,50.75602719,72.04587409,56.87313385,2.083880493,107.309352,0.799970631,193.2443454
198,51.25187389,73.77297021,57.37495795,2.067437373,110.3090738,0.812016074,193.5093422
199,51.64985531,75.40331526,57.87917192,2.096226434,113.2136244,0.822079463,194.1809327
200,51.94998459,76.93695248,58.28579695,2.10744572,115.4230541,0.832160021,194.8590076
201,52.25227295,78.37392321,58.49485229,1.947493216,117.5374095,0.842256942,195.7434476
202,52.4567295,79.61426669,58.70635513,2.043166862,119.1567334,0.851369389,196.7341237
203,52.56336117,79.95801987,58.92032046,2.064864548,120.6810647,0.859496502,197.6308967
204,52.67217261,80.40521726,59.03676098,2.09098412,122.5104376,0.870637389,198.5336176
205,52.78316605,80.55589071,59.15568693,2.064723385,123.144882,0.879791137,199.3421276
206,52.79634124,80.21006922,59.177106,2.024480114,123.6844228,0.881956808,200.0562582
207,52.71169532,79.1677788,59.00102318,2.052252045,124.1290798,0.878133442,200.775831
208,52.52922273,77.82904219,58.62744064,1.870436888,122.3788673,0.869320058,201.3006583
209,52.14891514,76.09387877,58.05635763,1.913832328,114.6337941,0.858515659,201.530543
210,51.77076132,73.96230426,57.48777034,1.885236031,104.9938629,0.845719227,201.6652789
211,51.49474711,72.53433063,57.32167179,1.966645648,103.2590702,0.837929732,201.6046507
212,51.62085528,72.00996582,57.55805175,2.219258817,106.0294064,0.836146129,201.5484348
213,52.04906552,72.28921363,58.0968966,2.207873171,108.2048549,0.836367362,201.5963991
214,52.47935433,73.07207348,58.63818924,2.21368634,110.7853924,0.841592366,201.7483036
215,52.91169501,74.25854025,59.18190902,2.197095957,113.8709884,0.84682007,202.0039007
216,53.34605755,75.74860413,59.62803167,2.17969966,116.3616054,0.851049395,202.5629356
217,53.78240867,77.54225042,60.07652917,2.1870951,118.9571981,0.857279261,203.1251468
218,54.12071171,79.13945941,60.52736974,2.192479943,121.6577138,0.863508587,203.8902664
219,54.36092667,80.64020618,60.88051778,2.068651874,123.863092,0.87073629,204.7580207
220,54.60301019,81.94446054,61.03593379,2.063208603,124.3732641,0.876961295,205.7281308
221,54.74691551,82.85218684,61.19357438,2.086547868,124.7881539,0.886182528,206.8003128
222,54.89259255,83.56334388,61.45339225,2.09106744,125.4076768,0.894398925,207.7742788
223,55.13998789,84.07788483,61.61533613,2.098365125,125.8317401,0.89860943,208.6497371
224,55.2890448,84.19575714,61.87935086,2.108038771,126.260243,0.901812998,209.6263929
225,55.43970335,84.01690245,62.04537737,2.130486268,126.3930766,0.905008598,210.4039492
226,55.5919004,83.84125658,62.2133527,2.137305553,126.2301237,0.906195215,211.0821067
227,55.74556971,83.3687495,62.38321008,2.144094615,125.7712591,0.905371849,211.6605651
228,55.80064203,83.1993053,62.45487898,2.120451495,125.3163495,0.90553752,212.2390236
229,55.85704518,82.83284219,62.5282852,2.035974291,124.6652539,0.904691268,212.8171811
230,55.9147042,82.66927258,62.60335093,1.98346116,124.5178232,0.904832155,213.2947373
231,56.07354142,82.0085031,62.67999488,2.073310322,124.2739012,0.904959267,213.7713931
232,56.23347664,82.05043469,62.75813243,2.047920059,122.6333238,0.903071715,214.2468514
233,56.29442725,82.09496269,62.9376757,2.010888719,121.6959201,0.900168636,214.8208174
234,56.45630841,82.14197698,63.11853377,1.958214719,121.2615122,0.896249194,215.2929994
235,56.7190332,82.5913621,63.3006128,2.088696545,120.9299158,0.895312583,215.8631095
236,56.98251282,82.84299744,63.58381621,2.061932754,120.2009402,0.899358026,216.4308638
237,57.24665673,83.29675741,63.76804492,2.065121973,119.8743887,0.903384776,216.9959834
238,57.5113729,83.65251169,64.05319748,2.051462904,120.0500595,0.90939212,217.6581946
239,57.776568,84.11012544,64.33917034,2.028554322,121.2277453,0.914379375,218.4172295
240,58.04214757,85.56945954,64.52585805,2.169995076,123.4072344,0.921345892,219.2728266
241,58.30801628,87.03037089,64.81315349,2.187784089,126.2883107,0.929291054,220.2247311
242,58.57407813,88.59271272,65.20094813,2.224320358,131.7707546,0.937214279,221.0726954
243,58.84023665,89.85633487,65.58913226,2.166802956,137.4543432,0.943115019,221.8164795
244,59.00639517,90.32108414,65.77759527,2.195631028,135.4388507,0.949992761,222.4558513
245,59.07245702,89.98680463,65.96622586,2.241603794,133.3240495,0.954847024,222.9905872
246,59.13832573,89.35333809,65.95491235,2.244320546,132.2097099,0.958677364,223.4204719
247,59.2039053,88.72052433,66.04354294,2.251380648,131.6956015,0.959483369,223.8452992
248,59.1691004,87.88820155,65.93200595,2.171583536,131.3814931,0.957264664,224.264872
249,59.13381658,86.95620675,65.92019008,1.997728714,131.1671535,0.948020906,224.5790026
250,59.09796049,86.02437615,65.80798472,2.012215757,130.8523523,0.936751785,224.7875126
251,59.0614401,85.39254555,65.79528016,2.255844306,130.2368598,0.927457025,224.9902335
252,59.12416489,84.76055076,65.88196787,2.155414066,128.4204484,0.921136383,224.9870065
253,59.28604605,85.12822797,66.16794073,2.12452481,127.7028923,0.918789648,224.9776826
254,59.54699666,85.59541421,66.45309329,2.26917637,127.5839687,0.920416639,224.9621226
255,59.90693188,86.46194768,66.737322,2.240968641,127.3634577,0.926017207,225.2401975
256,60.1657691,87.82766816,67.12052542,2.220701573,128.1411435,0.931591234,225.511788
257,60.52342812,89.19241743,67.50260444,2.228375178,129.8168143,0.937138629,226.1767848
258,60.77983127,89.95603958,67.78346251,2.210389518,132.5902629,0.94665933,226.9350881
259,61.03490359,92.11838141,68.06300578,2.21554471,135.3612872,0.956153305,227.8866083
260,61.3885729,93.97929277,68.34114333,2.221840922,138.8296908,0.964620544,228.831265
261,61.54076995,95.23862686,68.71778729,2.225678369,141.195283,0.973061068,229.6689873
262,61.7914285,95.99624061,68.99285301,2.236657315,143.4578793,0.982474918,230.4997138
263,61.94048542,96.25199489,69.16625923,2.273578064,144.7173019,0.987862163,231.2233921
264,61.98788075,95.90575487,69.33792813,2.291240965,145.0733798,0.991222892,231.8399786
265,62.03355779,95.4573902,69.40778551,2.312046408,144.4259492,0.991557216,232.3494386
266,61.97746312,94.50677532,69.27576084,2.316394818,143.5748535,0.986865269,232.6517458
267,61.91954663,93.45378961,69.14178735,2.132286657,142.4199439,0.979147202,232.746882
268,61.75976159,92.09831761,69.00580208,1.968122421,138.1610793,0.967403187,232.8348372
269,61.59806464,90.64024921,68.66774597,2.227102636,131.3981264,0.955633412,232.7156088
270,61.53441575,89.37947973,68.72756383,2.405627859,126.33096,0.949838084,232.689202
271,61.6687783,89.11591012,68.98520443,2.395698673,128.859463,0.952017424,232.4556288
272,62.00111897,89.64944701,69.24062044,2.339315688,132.1835263,0.955171669,232.4149083
273,62.23140779,90.7800028,69.59376847,2.283279537,134.9030491,0.957301068,232.4670659
274,62.55961802,92.10749572,69.94460904,2.351990874,137.2179389,0.959405885,232.8121336
275,62.78572619,93.13184986,70.19310654,2.328250373,138.3281111,0.964486395,233.2501492
276,63.00971198,94.05299517,70.43922919,2.309258726,139.5334892,0.968542885,233.7811559
277,63.23155816,94.97086747,70.78294898,2.305016641,140.6340049,0.972575651,234.2052028
278,63.45125057,95.68540842,71.02424162,2.305124842,141.5295976,0.975585,234.8223435
279,63.56877798,96.39656547,71.26308646,2.292384065,142.7202146,0.979571244,235.3326368
280,63.78413206,97.00429176,71.49946642,2.295995057,143.7058107,0.983534707,235.9361458
281,63.99730725,97.50854612,71.73336788,2.299558575,144.7863482,0.986475717,236.4329377
282,64.10830069,97.9092929,71.96478058,2.297475385,145.6617966,0.98939461,236.8230837
283,64.21711213,98.20650188,71.99369757,2.308546261,146.2321328,0.989291725,237.3066585
284,64.3237438,98.30014817,72.12011504,2.305571981,146.6973402,0.991167408,237.6837404
285,64.42820035,98.29021205,72.24403221,2.284153327,146.8574089,0.994022009,238.0544104
286,64.43048871,98.17667883,72.26545128,2.277091088,146.6123357,0.992855879,238.4187526
287,64.430618,97.85953867,72.38437724,2.260786051,146.1621232,0.992669374,238.5768534
288,64.52859941,97.53878648,72.40081775,2.254039007,145.2067802,0.992462851,238.7288018
289,64.52444611,97.51442168,72.41478309,2.249650745,144.146321,0.989236669,238.8746887
290,64.61817315,97.28644804,72.52628592,2.233222054,142.9807655,0.984991189,239.1146068
291,64.70979729,97.15487354,72.63534126,2.220753722,142.0101384,0.97872677,239.2486504
292,64.79933699,97.11971011,72.74196629,2.182646533,141.3344696,0.973443773,239.3769153
293,64.88681222,97.38097351,72.84618027,2.151301268,140.8537935,0.971142559,239.5994985
294,64.97224439,97.83868308,72.94800436,2.059118704,140.5681489,0.971823487,239.816498
295,65.15565624,98.6928616,73.04746155,2.380099612,140.7775786,0.974486914,240.1280125
296,65.43707178,99.84353504,73.34457653,2.266644759,141.0821292,0.983133198,240.5341414
297,65.6165161,101.1907324,73.53937551,2.309554905,142.281851,0.991762692,241.1349846
298,65.89401537,102.5344856,73.83188618,2.344830803,145.8767975,1.00437575,241.6306422
299,66.06959668,104.1748291,74.02213754,2.381273198,152.0670253,1.015972719,242.3212147
300,66.14328798,105.5117998,74.2101598,2.253682829,156.2525938,1.024553948,243.0068023
301,66.11511799,105.145437,74.19598429,2.292860426,152.9335649,1.03111978,243.5875052
302,66.0851161,103.8757821,74.17964333,2.343206709,150.610003,1.031670554,244.0634235
303,65.95331231,102.5028782,74.06117011,2.351522391,148.9819744,1.028206607,244.2346566
304,65.71973712,101.0267704,73.84059865,2.293408173,148.2495475,1.022728272,244.2013038
305,65.48442151,99.44750531,73.51796363,2.398864751,147.5127923,1.012235877,244.0634634
306,65.24739679,98.1651309,73.19330035,2.235092806,146.1717803,1.000729747,243.7212334
307,65.1086946,96.77969647,72.96664463,2.312893011,144.6265843,0.989210202,243.2747107
308,64.96834681,95.69125243,72.73803271,2.24066603,142.6772781,0.980677556,242.7239915
309,64.92638547,95.19985018,72.80750119,2.189612514,140.8239366,0.975132122,242.1691711
310,65.08284273,95.40554192,73.07508692,2.438933105,140.0666353,0.976574205,241.7103438
311,65.33775084,95.8083806,73.34082698,2.417028433,140.0054503,0.977004107,241.3476025
312,65.59114202,96.80841972,73.70475856,2.396299119,141.2404583,0.979422125,241.1810395
313,65.84304847,97.70571326,73.96691892,2.373145771,142.6717361,0.981828549,241.2107455
314,66.09350231,99.00031555,74.22734535,2.381168986,144.5993608,0.985223667,241.4368101
315,66.34253551,100.3922811,74.48607505,2.401569352,147.6234094,0.99060776,241.7593217
316,66.5901799,102.4816648,74.74314513,2.318747443,153.943959,0.997981104,242.1783672
317,66.73646708,104.6685212,74.99859256,2.218303825,157.7610862,1.00434397,242.6940324
318,66.88142842,105.552905,75.05245408,2.17183905,155.8748676,1.008696626,243.2064016
319,66.92509502,105.834871,75.1047662,2.302153661,153.8853792,1.010039332,243.9155575
320,66.76749768,105.7144734,75.15556514,2.326848189,152.6926965,1.013372343,244.4215818
321,66.80866687,105.5917663,75.10488681,2.327923155,152.8968946,1.015695912,244.7245543
322,66.8486327,105.3668035,75.25276674,2.267779066,153.5980476,1.017010282,245.0245538
